iters;time
2416;11.3886
2423;11.4167
2430;11.4411
2437;11.4668
2444;11.4919
2451;11.5169
2458;11.5413
2465;11.5656
2472;11.5898
2479;11.6147
2486;11.6395
2493;11.6633
2500;11.6871
2507;11.7113
2514;11.7353
2521;11.7595
2528;11.7834
2535;11.8074
2542;11.8321
2549;11.856
2556;11.8802
2563;11.905
2570;11.9332
2577;11.9609
2584;11.9862
2591;12.0139
2598;12.0389
2605;12.0665
2612;12.0914
2619;12.1166
2626;12.1434
2633;12.168
2640;12.1948
2647;12.2228
2654;12.2524
2661;12.2769
2668;12.3014
2675;12.3273
2682;12.3536
2689;12.3827
2696;12.4085
2703;12.4376
2710;12.4633
2717;12.4924
2724;12.5181
2731;12.5437
2738;12.5754
2745;12.5997
2752;12.626
2759;12.656
2766;12.6816
2773;12.7117
2780;12.7374
2787;12.8376
2794;12.8653
2801;12.8902
2808;12.9154
2815;12.9416
2822;12.9677
2829;12.9963
2836;13.0221
2843;13.0484
2850;13.0742
2857;13.103
2864;13.1287
2871;13.154
2878;13.1784
2885;13.2018
2892;13.226
2899;13.2517
2906;13.2779
2913;13.3033
2920;13.3267
2927;13.3531
2934;13.38
2941;13.4082
2948;13.433
2955;13.4612
2962;13.4855
2969;13.5136
2976;13.5379
2983;13.5655
2990;13.5899
2997;13.6141
3004;13.6404
3011;13.6657
3018;13.6887
3025;13.7225
3032;13.804
3039;13.8292
3046;13.853
3053;13.8796
3060;13.9047
3067;13.9309
3074;13.9566
3081;13.9829
3088;14.0091
3095;14.0358
3102;14.062
3109;14.0873
3116;14.1163
3123;14.1458
3130;14.1729
3137;14.1983
3144;14.2273
3151;14.2535
3158;14.285
3165;14.314
3172;14.3388
3179;14.3659
3186;14.3983
3193;14.4272
3200;14.4529
3207;14.4825
3214;14.5101
3221;14.5367
3228;14.5624
3235;14.5915
3242;14.6177
3249;14.6446
3256;14.6814
3263;14.709
3270;14.7342
3277;14.7599
3284;14.7842
3291;14.8118
3298;14.8386
3305;14.8635
3312;14.8916
3319;14.918
3326;14.944
3333;14.9703
3340;14.9961
3347;15.0232
3354;15.048
3361;15.076
3368;15.1014
3375;15.1294
3382;15.1581
3389;15.1839
3396;15.2089
3404;15.2394
3412;15.2665
3420;15.2924
3428;15.3253
3436;15.3505
3444;15.3754
3452;15.4111
3460;15.4374
3468;15.4633
3476;15.4974
3484;15.5313
3492;15.5561
3500;15.5813
3508;15.6171
3516;15.6437
3524;15.6719
3532;15.6983
3540;15.7252
3548;15.7501
3556;15.774
3564;15.8003
3572;15.8326
3580;15.8618
3588;15.889
3596;15.9176
3604;15.9462
3612;15.975
3620;16.0024
3628;16.0297
3636;16.0569
3644;16.0822
3652;16.1088
3660;16.1335
3668;16.1645
3676;16.1936
3684;16.2203
3692;16.247
3700;16.2784
3708;16.3065
3716;16.3337
3724;16.3632
3732;16.3898
3740;16.4156
3748;16.4409
3756;16.4677
3764;16.4944
3772;16.5218
3780;16.5482
3788;16.5759
3796;16.605
3804;16.6336
3812;16.6617
3820;16.6918
3828;16.7176
3836;16.7476
3844;16.7953
3852;16.8306
3860;16.8564
3868;16.8835
3876;16.9168
3884;16.9427
3892;16.9765
3900;17.0042
3908;17.0373
3916;17.0623
3924;17.0976
3932;17.1305
3940;17.1634
3948;17.191
3956;17.2235
3964;17.2496
3972;17.2835
3980;17.3176
3988;17.3425
3996;17.3678
4004;17.3988
4012;17.4284
4020;17.4546
4028;17.4798
4036;17.5079
4044;17.5364
4052;17.5621
4060;17.5878
4068;17.6144
4076;17.6429
4084;17.6696
4092;17.6972
4100;17.7235
4108;17.7525
4116;17.7821
4124;17.8122
4132;17.8387
4140;17.8656
4148;17.8913
4156;17.9223
4164;17.9543
4172;17.981
4180;18.0072
4188;18.0401
4196;18.0679
4204;18.0958
4212;18.1236
4220;18.1484
4228;18.1713
4236;18.1971
4244;18.2286
4252;18.2595
4260;18.2843
4268;18.3153
4276;18.3488
4284;18.3742
4292;18.4028
4300;18.4272
4308;18.4577
4316;18.4839
4324;18.5102
4332;18.5397
4340;18.5688
4348;18.5978
4356;18.6262
4364;18.6551
4372;18.6819
4380;18.709
4388;18.7353
4396;18.7605
4404;18.79
4412;18.8186
4420;18.8461
4428;18.8752
4436;18.899
4444;18.925
4452;18.9536
4460;18.9784
4468;19.006
4476;19.0309
4484;19.0548
4492;19.0829
4500;19.1076
4508;19.138
4516;19.1635
4524;19.1898
4532;19.2217
4540;19.2484
4548;19.2741
4556;19.2993
4564;19.326
4572;19.3527
4580;19.379
4588;19.4043
4596;19.4321
4604;19.4588
4612;19.4879
4620;19.5123
4628;19.5413
4636;19.5681
4644;19.6048
4652;19.6306
4660;19.6558
4668;19.6809
4676;19.7078
4684;19.7397
4692;19.7656
4700;19.8036
4708;19.8261
4716;19.8547
4724;19.8785
4732;19.9042
4740;19.9289
4748;19.956
4756;19.984
4764;20.015
4772;20.0421
4780;20.0683
4788;20.0931
4796;20.1188
4804;20.1465
4812;20.1757
4820;20.206
4828;20.2319
4836;20.2557
4844;20.2825
4852;20.3068
4860;20.3306
4868;20.3549
4876;20.3825
4884;20.4092
4892;20.4378
4900;20.4721
4908;20.5055
4916;20.5326
4924;20.5603
4932;20.5913
4940;20.6199
4948;20.6441
4956;20.6761
4964;20.7027
4972;20.7298
4980;20.7555
4988;20.8063
4996;20.8334
5004;20.8607
5012;20.8873
5020;20.9132
5028;20.9389
5036;20.9675
5044;20.993
5052;21.0237
5060;21.0496
5068;21.0797
5076;21.1054
5084;21.133
5092;21.1592
5100;21.1844
5108;21.2106
5116;21.2448
5124;21.27
