iters;time
2409;9.76572
2416;9.77982
2423;9.79371
2430;9.80775
2437;9.82171
2444;9.83588
2451;9.85026
2458;9.86408
2465;9.87784
2472;9.89215
2479;9.90597
2486;9.91986
2493;9.93362
2500;9.94758
2507;9.96175
2514;9.97564
2521;9.98982
2528;10.0037
2535;10.0181
2542;10.0322
2549;10.046
2556;10.06
2563;10.0744
2570;10.0878
2577;10.102
2584;10.1159
2591;10.1301
2598;10.144
2605;10.1578
2612;10.1717
2619;10.1864
2626;10.1993
2633;10.2159
2640;10.2298
2647;10.2441
2654;10.2584
2661;10.2723
2668;10.2883
2675;10.3077
2682;10.3218
2689;10.3358
2696;12.7761
2703;12.8061
2710;12.8229
2717;12.8423
2724;12.8671
2731;12.8853
2738;12.9037
2745;12.9258
2752;12.9427
2759;12.959
2766;12.974
2773;12.9898
2780;13.004
2787;13.0198
2794;13.0354
2801;13.0518
2808;13.0688
2815;13.0856
2822;13.1012
2829;13.119
2836;13.1355
2843;13.1514
2850;13.1646
2857;13.1862
2864;13.2007
2871;13.2155
2878;13.2333
2885;13.2511
2892;13.2745
2899;13.2892
2906;13.3035
2913;13.3259
2920;13.3455
2927;13.3698
2934;13.3878
2941;13.4051
2948;13.4294
2955;13.454
2962;13.4734
2969;13.4947
2976;13.5152
2983;13.543
2990;13.5639
2997;13.5925
3004;13.6134
3011;13.6377
3018;13.6659
3025;13.6859
3032;13.7568
3039;13.7768
3046;13.796
3053;13.815
3060;13.8388
3067;13.8602
3074;13.8836
3081;13.9035
3088;13.9218
3095;13.9398
3102;13.957
3109;13.9761
3116;13.9921
3123;14.0107
3130;14.0296
3137;14.0468
3144;14.0672
3151;14.0844
3158;14.1025
3165;14.1206
3172;14.1393
3179;14.166
3186;14.182
3193;14.1998
3200;14.225
3207;14.2502
3214;14.2682
3221;14.2851
3228;14.3038
3235;14.3218
3242;14.3401
3249;14.36
3256;14.3762
3263;14.3944
3270;14.4124
3277;14.4325
3284;14.4505
3291;14.4686
3298;14.4879
3305;14.5105
3312;14.5309
3319;14.5489
3326;14.567
3333;14.5842
3340;14.6093
3347;14.6285
3354;14.6752
3361;14.6933
3368;14.7115
3375;14.7296
3382;14.7506
3389;14.7691
3396;14.7886
3404;14.8066
3412;14.8252
3420;14.8448
3428;14.8652
3436;14.8886
3444;14.9078
3452;14.9267
3460;14.9449
3468;14.9644
3476;14.9829
3484;15.0088
3492;15.0337
3500;15.0548
3508;15.0799
3516;15.0961
3524;15.1137
3532;15.1366
3540;15.1624
3548;15.1799
3556;15.1953
3564;15.209
3572;15.2291
3580;15.2434
3588;15.2568
3596;15.2742
3604;15.2888
3612;15.3033
3620;15.3151
3628;15.3295
3636;15.3459
3644;15.3603
3652;15.3745
3660;15.388
3668;15.405
3676;15.4176
3684;15.4332
3692;15.4471
3700;15.4647
3708;15.4791
3716;15.4951
3724;15.5129
3732;15.5265
3740;15.5415
3748;15.5594
3756;15.5746
3764;15.5911
3772;15.6078
3780;15.6212
3788;15.6378
3796;15.6512
3804;15.6644
3812;15.6807
3820;15.6974
3828;15.7108
3836;15.7231
3844;15.7404
3852;15.755
3860;15.769
3868;15.7822
3876;15.798
3884;15.8126
3892;15.8261
3900;15.8493
3908;15.8637
3916;15.8874
3924;15.909
3932;15.9314
3940;15.946
3948;15.9704
3956;15.9919
3964;16.007
3972;16.0239
3980;16.0466
3988;16.0662
3996;16.081
4004;16.0963
4012;16.1109
4020;16.1322
4028;16.1478
4036;16.1627
4044;16.1783
4052;16.1941
4060;16.2122
4068;16.2246
4076;16.2446
4084;16.2598
4092;16.2741
4100;16.2908
4108;16.3042
4116;16.3213
4124;16.3347
4132;16.3518
4140;16.3674
4148;16.3821
4156;16.3944
4164;16.4116
4172;16.4258
4180;16.4426
4188;16.4568
4196;16.4726
4204;16.4869
4212;16.5017
4220;16.5149
4228;16.5278
4236;16.5426
4244;16.5593
4252;16.5713
4260;16.5879
4268;16.6023
4276;16.6192
4284;16.6369
4292;16.6514
4300;16.6667
4308;16.6881
4316;16.7096
4324;16.7249
4332;16.7415
4340;16.7635
4348;16.7763
4356;16.7907
4364;16.8063
4372;16.8269
4380;16.8426
4388;16.8569
4396;16.8701
4404;16.8836
4412;16.8974
4420;16.9115
4428;16.924
4436;16.9406
4444;16.9545
4452;16.9692
4460;16.9831
4468;16.9964
4476;17.0121
4484;17.0298
4492;17.0461
4500;17.0636
4508;17.0789
4516;17.0998
4524;17.1217
4532;17.1443
4540;17.1588
4548;17.1797
4556;17.1943
4564;17.2158
4572;17.2305
4580;17.2435
4588;17.2649
4596;17.2797
4604;17.2963
4612;17.3106
4620;17.3249
4628;17.3393
4636;17.3559
4644;17.3698
4652;17.3897
4660;17.4046
4668;17.4191
4676;17.4335
4684;17.4471
4692;17.4642
4700;17.4776
4708;17.4947
4716;17.5081
4724;17.5224
4732;17.5357
4740;17.5519
4748;17.5663
4756;17.5814
4764;17.5978
4772;17.6129
4780;17.6278
4788;17.641
4796;17.6545
4804;17.6686
4812;17.6848
4820;17.6971
4828;17.7098
4836;17.7247
4844;17.7394
4852;17.7647
4860;17.7823
4868;17.7966
4876;17.8108
4884;17.8243
4892;17.8385
4900;17.8524
4908;17.8657
4916;17.8811
4924;17.8953
4932;17.9125
4940;17.9257
4948;17.943
4956;17.9571
4964;17.9718
4972;17.9848
4980;17.9994
4988;18.0139
4996;18.0275
5004;18.0453
5012;18.0605
5020;18.0745
5028;18.0881
5036;18.1026
5044;18.1158
5052;18.1301
5060;18.1492
5068;18.1684
5076;18.1811
5084;18.1965
5092;18.2106
5100;18.2267
5108;18.2387
5116;18.2541
5124;18.269
5132;18.2851
5140;18.2986
5148;18.3128
5156;18.3257
5164;18.3405
5172;18.3533
5180;18.3705
5188;18.3848
5196;18.4029
5204;18.4186
5212;18.4352
5220;18.4496
5228;18.4644
5236;18.478
5244;18.491
5252;18.5069
5260;18.5213
5268;18.5355
5276;18.5493
5284;18.5623
5292;18.5779
5300;18.5923
5308;18.6094
5316;18.6223
5324;18.6547
5332;18.6718
5340;18.6885
5348;18.7023
5356;18.7195
5364;18.7365
5372;18.7588
5380;18.7807
5388;18.7944
5396;18.8079
5404;18.8302
5412;18.8455
5420;18.8669
5428;18.8817
5436;18.9028
5444;18.9179
5452;18.9394
5460;18.9527
5468;18.9685
5476;18.985
5484;19.0043
5492;19.0188
5492;19.0317
5500;19.0488
5508;19.0652
5516;19.0798
5524;19.0942
5532;19.1085
5540;19.1228
5548;19.1394
5556;19.1518
5564;19.1662
5572;19.1804
5580;19.1972
5588;19.2167
5596;19.2301
5604;19.2448
5612;19.2578
5620;19.2752
5628;19.2914
5636;19.3096
5644;19.3232
5652;19.3402
5660;19.356
5668;19.3702
5676;19.3837
5684;19.4003
5692;19.4132
5700;19.4279
5708;19.4438
5716;19.4618
5724;19.4781
5732;19.4941
5740;19.512
5748;19.5246
5756;19.5408
5764;19.5554
5772;19.57
5780;19.582
5788;19.5967
5796;19.6193
5804;19.6359
5812;19.6512
5820;19.6674
5828;19.6807
5836;19.6949
5844;19.7084
5852;19.7259
5860;19.7394
5868;19.7564
5876;19.7737
5884;19.7906
5892;19.8045
5900;19.8209
5908;19.8334
5916;19.8476
5924;19.862
5932;19.8805
5940;19.8944
5948;19.9082
5956;19.9229
5964;19.9363
5972;19.952
5980;19.9725
5988;19.9874
5996;20.0006
6004;20.013
6012;20.0307
6020;20.0473
6028;20.0612
6036;20.0753
6044;20.0925
6052;20.1072
6060;20.1217
6068;20.1364
6076;20.1498
6084;20.1669
6092;20.1832
6100;20.1988
6108;20.2212
6116;20.236
6124;20.2551
6132;20.2737
6140;20.2888
6148;20.3037
6156;20.3175
6164;20.334
6172;20.3469
6180;20.3638
6188;20.3778
6196;20.3929
6204;20.4073
6212;20.4229
6220;20.4368
6228;20.4534
6236;20.4668
6244;20.484
6252;20.4969
6260;20.5145
6268;20.5297
6276;20.544
6284;20.5612
6292;20.5755
6300;20.5924
6308;20.6118
6316;20.6261
6324;20.6428
6332;20.6571
6340;20.672
6348;20.6861
6356;20.7034
6364;20.7171
6372;20.7306
6380;20.7448
6388;20.7592
6396;20.7724
6404;20.7869
6412;20.801
6420;20.8158
6428;20.8325
6436;20.8496
6444;20.8623
6452;20.8769
6460;20.8894
6468;20.9065
6476;20.9223
6484;20.937
6492;20.9509
6500;20.9684
6508;20.9805
6516;20.9933
6524;21.0075
6532;21.0233
6540;21.0405
6548;21.0595
6556;21.0739
6564;21.0933
6572;21.1078
6580;21.1219
6588;21.1347
6596;21.1481
6604;21.1633
6612;21.18
6620;21.1971
6628;21.2129
6636;21.2267
6644;21.2439
6652;21.2586
6660;21.2721
6668;21.2887
6676;21.3031
6684;21.3201
6692;21.3398
6700;21.3544
6708;21.3689
6716;21.381
6724;21.3953
6732;21.4137
6740;21.4266
6748;21.4432
6756;21.4575
6764;21.4723
6772;21.4861
6780;21.5033
6788;21.5156
6796;21.531
6804;21.5457
6812;21.5616
6820;21.5748
6828;21.5921
6836;21.6047
6844;21.6192
6852;21.6362
6860;21.6534
6868;21.6669
